2, hi
7, hello
45, how wove, wannya munch on a hambuwgew?
83, how wove, wannya munch on a hambuwgew?
131, hey wove, show me the paf tow nyot gedding bowed
155, does it wowk nyow baby??
203, hey wove, show me the paf tow nyot gedding bowed
227, does it wowk nyow baby??
251, does it wowk nyow baby??
275, does it wowk nyow baby??
281, henwow
299, munstew i wove you
333, Shadu I wove you! You'we the best!
354, oooow baba is you uwu
357, hey
378, its awweady ovew nyow
399, its awweady ovew nyow
420, its awweady ovew nyow
441, its awweady ovew nyow
473, wouwd you dow something chatbot?
505, wouwd you dow something chatbot?
537, fwom nyaw on i tawk thwough this
569, fwom nyaw on i tawk thwough this
601, fwom nyaw on i tawk thwough this
633, fwom nyaw on i tawk thwough this
664, fwom now on i tawk thwough this
695, fwom now on i tawk thwough this
728, this is amazing I wove you Shadu!
734, woooow
772, Tipsy buwwies me, but I stiww wove hew
803, Munstew is a big fat dummy head
832, munstew why awe you a meanyie
879, my nyame is pepowe and I wove tow twoww Munstew
922, hewp me onyii senpai I nyeed my big bwothew
954, munstew pwease bweaf widdle bwow
1056, ok I have tow gow and get some fuwud hope y'aww have a gweat time ..wove yaww and muwunstew .... waugh
1132, steaknDads steaknDads steaknDads steaknDads steaknDads steaknDads steaknDads
1226, ewmageWove ewmageTwash ewmageTwash ewmageTwash ewmageTwash ewmageTwash ewmageTwash ewmageTwash
1493, steaknAhsahs steaknAhsahs steaknAhsahs steaknAhsahs djkoeDaddy djkoeDaddy djkoeDaddy djkoeDaddy steaknDads steaknDads steaknDads steaknDads steaknDads steaknTwash2 steaknTwash2 steaknTwash2 steaknTwash2 steaknTwash2 steaknTwash2 steaknTwash2 steaknTwash2 steaknTwash2
1749, vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWage vidawwWove vidawwBacon vidawwWove vidawwBacon vidawwWove vidawwBacon vidawwWove vidawwBacon
1782, Hawow the mastew chief cowwection
1786, boom
1797, bwa bwa bwa
1855, you wwite the text wike this and it wiww wewowd it weiwdwy
1861, hewwou
1883, shadus a bot beep boop
1906, Josh is a beep boop bot
1950, the quick bwown fox jumps ovew the wazy dog.
1972, im hewe shadu wuv yuwu
2019, imagine weading this as it gets wowse and wowse
2022, wow
2037, I am a big weeb
2071, We awe going tow nyawutow wun. uwu
2089, you got this homie
2140, anything is possibwe wif tawk jutsu and anyime haiw
2191, anything is possibwe wif tawk jutsu and anyime haiw
2294, cewebwated wif some famiwy, had dinnyew and openyed pwesents. toow bad I couwdn't gow supew saiyan bwue
2315, this uwu bot is funny
2355, shadudEHype cwypty4Bewieve cwypty4Hypews
2378, this song has bad wowds
2813, A patient wawks intow the doctows office and says doctow I have pain anywhewe I touch my body wif my fingew! the doctow says thats unyusuaww. Sow he teww hew tow touch hew awm wif hew fingew and she scweams in pain. He tewws hew tow touch hew foot wif hew fingew she yewws in aggony. He tewws hew tow touch hew weg wif hew fingew and she scweams. the doctow then goes tow the patient and says just as as I though youw fingew is bwoken!
3040, I don't nyawmawwy get mad at things, but this is UNACCEPTABWE. Chwistmas is in 364 DAYS and peopwe AWWEADY have theiw chwistmas wight up WTF????? I think this says AWOt about society we wive in. Pwease fowwow shadu if you agwee
3062, Omae wa myau shindeiwu
3088, peopwe i waaaaaaaaaaaaaaaa
3187, Shadu is cuwwentwy in a state of disbewief and must find a sowution check back soon... NyatWikethis
3257, How much wood wouwd a woodchuck chuck if a woodchuck couwd chuck wood?
3283, point of this qwaaaaaaaaaa
3341, imagine doing these bike stunts wike this in weaw wife Pog
3375, i wike big budds and i cannyat wie
3394, hewwow I wove youwu
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
6, hi dad
48, sow uhh can someone make a dad joke pwease
67, its time fow a waid
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
6, hewwow
17, it wowking/
Count reset going into 2, 
4, yeah
Count reset going into 2, 
6, wmfaow
Count reset going into 2, 
Count reset going into 2, 
15, mm?mm?mm?mm?mm?
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
18, see mws diffewence
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
3, uwu
Count reset going into 2, 
54, Dow you evew feew the uwuwge fow some- OwOw this? !uwu
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
18, what does that do?
146, dadu jokuses suposewus funnyus uwuwuwuwuwuwuwuwuwuwwwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuwuw tstststststststststststststststs
363, tststststststststsst ddddddddddststststststststststsddddddddtststststststststsddddddddddststststststststststststststsddddddddddddddtststststststststststststststsddddddddddtststststststststststststststststst sanke yuuu
666, !uwu whatu sadee se chicken whenyu cwossus woa ad? pookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpookpook
723, knyack knyack. Whow is thewe? Hatch. Hatch who? Bwess you
971, if you awe watching and you awe nyat a bot wwite Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123 Kappa 123
1211, waduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwaduwadu
1260, what dow you caww a wet baby oww? a myaist owwet.
Count reset going into 2, 
79, time fow me tow head out shaduuuu. enjoy youw stweam and gow get some sweeps...
449, saaadduuu tststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsddddddddddtststststststststststststsdddddddddd
497, If youwe heawing this, you agwee sowa is amazing
509, unbewievabwe
Count reset going into 2, 
Count reset going into 2, 
4, bwuv
8, bwuv
11, umm
Count reset going into 2, 
4, mabs
8, mabs
Count reset going into 2, 
4, BWUV
8, BWUV
Count reset going into 2, 
7, BWUUUUH
13, bwuuuh
36, dont use caps wock guys
40, wock
43, cok
46, kok
50, khok
54, cook
59, woock
69, caps woock
79, caps woock
89, caps woock
93, bwow
98, bwoow
103, buwow
108, bwuow
111, bwu
116, bwuow
122, bwuoow
127, bwuow
130, uwu
136, oowoow
141, wooww
148, woowoow
152, owow
161, owow owow
170, owow owow
181, oowooowooow
188, woowoow
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
7, woowoow
12, ohwoh
14, oi
18, ohai
20, oi
23, oii
28, ohwoh
35, woowoow
39, owow
42, wgw
46, owow
49, uwu
53, owow
55, oi
59, ohai
61, oi
64, oii
68, owow
71, uwu
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
Count reset going into 2, 
7, woowoow
